year,paint_date,height,width,artist,artist_met,aic,louvre,orsay,met,birth1
1892,1905,49,61,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1899,1907,278,301,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1947,1914,119.5,79,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1928,1892,61,33,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1938-1945,1899,96.4,105.2,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1930,1947,54.5,37.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1920,1928,73.8,57.3,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1928,1941,77,103,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1925,1930,50,79,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1935,1920,46.3,53,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1932,1928,55.3,46.3,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1947,1925,50.3,52.3,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1904,1935,63,63,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1921,1932,81,90,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1921,1947,33,21.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1921,1904,30,40.2,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1921,1921,55,88,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1912,1921,55,87.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1916,1921,80,64,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1924,1921,38,46,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1920,1912,42.5,65.4,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1912,1916,96,82,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1908,1924,60,43,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1904,1920,166,155.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1900,1912,78,77.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1899,1908,52,45.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1890,1904,37,46,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1906-1910,1900,115,72.3,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1898,1899,55.7,57.4,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1906-1910,1890,150,50,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1891,1908,247.5,297.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1900,1898,23.3,31.8,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1908,1908,248.6,298.3,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1894,1891,38.2,36.2,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1894,1900,139,212,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1930,1908,90,120.6,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1929,1894,167.5,51,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1923,1894,51.9,33.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1918,1930,36.4,43.2,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1918,1929,48,60,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1917,1923,46.5,42.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1917,1918,71,59,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1916,1918,85.3,74.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1912,1917,74.2,63.4,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1912,1917,40.2,61,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1912,1916,102.5,53.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1910,1912,65.6,50.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1906,1912,70.3,64.6,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1901,1912,36.2,35.4,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1899,1910,54,35.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1897,1906,44.5,37,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1896,1901,38.4,46.3,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1847-1867,1899,54,33.4,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1895,1897,30.2,30,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1894,1896,38.2,35.4,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1894,1857,35,50,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1893,1895,42,65,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1892,1894,47,56,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1892,1894,22,30,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1896,1893,24,17,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1916-1920,1892,24.5,9.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1932,1892,27.5,19,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1926,1896,28,36,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1927,1918,130,160,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1931,1932,96,100.7,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1921,1926,59.5,73,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1919,1927,233.6,233.6,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1911,1931,54,74.3,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1930,1921,73.5,88.3,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1892,1919,91,46,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1910-1912,1911,46,38,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1899,1930,108,95.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1891,1892,24.3,21.7,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1891,1911,43.3,63.2,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1891,1899,34,44.2,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1891,1891,160.3,48,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1892,1891,160.5,48,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1920-1921,1891,160.5,48,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1899-1900,1891,160.2,47.8,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1920,1892,130.5,162.2,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1902,1920,80,65,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1894-1895,1899,30.2,39.2,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1916-1920,1920,53,57,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1930,1902,95,77.5,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1939,1894,168,221,"Pierre Bonnard (b. 1867, d. 1947)",Pierre Bonnard,0,0,1,0,1867
1885-1886,1885,45.8,39,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1879,1879,61.4,50.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1881,1881,100.4,80.9,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1883,1883,61.3,49.8,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1881-1882,1881,54.8,65.8,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1875-1876,1875,93,74,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1899-1900,1899,55.4,46.3,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1875,1875,55,65.9,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1879,1879,131.2,99.2,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1879-1880,1879,47.5,56.4,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1914,1914,81.1,67.2,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1879,1879,72.6,91.6,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1877-1879,1878,80.8,56.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1881,1881,51,65,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1876,1876,66.2,54.8,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1883,1883,81.2,65.3,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,1,0,0,0,1841
1868,1868,41.5,33,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1892,1892,50,40,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1876,1876,92,73,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1867,1867,105,73.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1874-1876,1875,46.5,38.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1887,1887,65.5,53.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1885,1885,92,72,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1868,1868,123.5,66,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1880,1880,46.2,38.2,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1907,1907,71,156,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1910,1910,92,72.8,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1918-1919,1918,110,160,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1883,1883,180.3,90,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1883,1883,179.7,89.1,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1882,1882,51.3,44.7,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1881,1881,51,63,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1881,1881,73.5,92.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1873,1873,66.5,81.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1841-1919,1880,27,22.3,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1841-1919,1880,46,56,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1905,1905,27.5,39.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1897,1897,40.5,32.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1903-1905,1904,115,168,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1903-1909,1906,46,36,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1841-1919,1880,20.5,43.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1890,1890,29.5,33,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1886,1886,35,27,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1910,1910,55,46,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1913,1913,94,74,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1909,1909,130,41,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1879,1879,49.5,40,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1895,1895,35.3,22.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1841-1919,1880,22,33,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1841-1919,1880,20,43,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1841-1919,1880,23,32,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1907,1907,38,50,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1841-1919,1880,36,32,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1895,1895,63,54,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1875,1875,10,8.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1910,1910,53,44.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1901,1901,92,73,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1866,1866,116,89.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1841-1919,1880,38.5,46,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1886,1886,35,27,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1879,1879,73,93,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1913,1913,65.2,54.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1874,1874,183,123.7,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1841-1919,1880,46,54.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1911-1915,1813,46,38,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1841-1919,1880,46.5,55.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1908,1908,45,35,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1894,1894,26.5,21,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1915-1916,1915,25.7,20.4,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1881,1881,54.5,65.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1909,1909,40.5,50.3,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1883,1883,46,56,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1885,1885,75,54.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1878,1878,46.5,38,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1911,1911,55.5,47,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1910,1910,81,65.4,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1907-1908,1907,55,46.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1915-1917,1916,50,53,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1909,1909,65.4,55.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1890,1890,35.5,27,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1881,1881,65,81.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1876,1876,46.2,38,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1876-1877,1876,46,38,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1868,1868,48,40,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1876,1876,54.6,66,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1870,1870,61.3,50.8,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1876-1877,1876,60,74,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1875-1876,1875,81,65,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1880,1880,46,37.7,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1874,1874,42.8,29.2,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1873,1873,46,65.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1864,1864,81.5,65.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1879,1879,18.8,14.2,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1892,1892,116,90,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1876,1876,131.5,176.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1875,1875,84,60.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1872,1872,29.5,25,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1869,1869,46.5,39,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1869,1869,47,64.5,"Pierre-Auguste Renoir (b. 1841, d. 1919)",Auguste Renoir,0,0,1,0,1841
1892-1940,1928,65.1,53.7,"Raoul Dufy (b. 1877, d. 1953)",Raoul Dufy,1,0,0,0,1877
early 1920s,1917,160.7,128.6,"Robert Delaunay (b. 1885, d. 1941)",Robert Delaunay,1,0,0,0,1885
early 1920s,1908,81.3,100.3,"Robert Delaunay (b. 1885, d. 1941)",Robert Delaunay,1,0,0,0,1885
1949,1949,35.6,45.7,"Robert Motherwell (b. 1915, d. 1991)",,1,0,0,0,1915
1944,1944,137.2,170.5,"Robert Motherwell (b. 1915, d. 1991)",,1,0,0,0,1915
1950,1950,205.7,254.6,"Willem de Kooning (b. 1904, d. 1997)",,1,0,0,0,1904
1975,1975,195.6,223.5,"Willem de Kooning (b. 1904, d. 1997)",,1,0,0,0,1904
1948-1949,1948,92.1,123.8,"Willem de Kooning (b. 1904, d. 1997)",,1,0,0,0,1904
1951,1951,76,63.6,"Yves Tanguy (b. 1900, d. 1955)",Yves Tanguy,1,0,0,0,1900
1945,1945,127,101.6,"Yves Tanguy (b. 1900, d. 1955)",Yves Tanguy,1,0,0,0,1900
1928,1928,200,59.7,"Yves Tanguy (b. 1900, d. 1955)",Yves Tanguy,1,0,0,0,1900
1940,1940,91.2,71.3,"Yves Tanguy (b. 1900, d. 1955)",Yves Tanguy,1,0,0,0,1900
